"Category","B cell cycling","CD8-positive, alpha-beta T cell","IgA plasma cell","IgG plasma cell","T follicular helper cell","T-helper 1 cell","T-helper 17 cell","activated CD4-positive, alpha-beta T cell","central memory CD4-positive, alpha-beta T cell","conventional type 1 dendritic cell","conventional type 2 dendritic cell","cycling dendritic cell","cycling gamma-delta T cell","follicular B cell","gamma-delta T cell","innate lymphoid cell","macrophage","mast cell","memory B cell","monocyte","natural killer cell","plasmacytoid dendritic cell","regulatory T cell"
"GAPDH",2485.63,768.87585,344.2578,364.0817,422.356735,831.7161,1191.63475,642.6735,529.1006,1367.05635,1364.05145,2175.86525,2794.1633,280.19052,1900.7392,667.5567,1736.55835,551.8764,592.5487,2529.009,797.4482,483.4421,778.43735
"UBE2J1",456.34747,,203.63489,190.86398,,,,,,20.584605,59.425181,87.50091,,,,,,,,107.4691,,110.08972,
"DBI",311.4618,,42.558624,39.06403,,,,,,285.65466,244.43686,421.299515,244.46889,,152.26906,,310.61156,336.70035,,251.76234,,343.9381,
"ENSG00000229215",141.39272,1044.9321,57.02555,99.40978,699.423025,541.937745,528.9237,564.89197,510.687975,353.10129,185.910415,322.06681,313.43347,261.7116,459.338745,,308.191925,36.72555,239.057915,269.8327,313.80756,628.0092,738.3707
"CD8A",,394.32178,,,,,,,,,,,,,,,,,,,,,
"CST7",,460.1933,,,,,,,,92.68359,79.6660775,,171.23286,,236.378685,,,,,,475.8506,,
"JCHAIN",8413.906,211.19324,75972.05,47606.242,,294.420785,346.230435,262.81207,,1400.60895,1319.8378,1381.4837,558.9715,219.68364,1440.36735,452.89853,690.864895,2100.5251,399.840315,930.6654,284.01022,934.2884,
"ENSG00000274437",35.34818,,273.01517,229.70905,,,,,,,,,,,,,,,,,,,
"MZB1",1023.34186,,1281.2301,1534.1648,,,,,,,,38.938735,,,,,,,,,,207.61964,
"ENSG00000282633",1741.5114,5.776513,11698.449,3047.7532,,369.65213,696.02082,0.4508318,,1896.13605,2106.25685,1836.7484,150.67049,102.24938,2005.76985,135.2448,936.41989,3064.4878,216.48613,1383.365,141.36275,51.834957,
"SSR4",884.1732,303.30603,2617.5974,2557.1814,236.322845,263.695685,305.343535,227.6867,217.98368,357.56511,348.83278,391.26614,171.23286,205.08614,360.29561,268.09653,340.01289,497.88397,186.39328,248.40605,303.0303,400.96228,207.44773
"IGHG3",36.840553,,4.1237965,14088.391,,,,,,,,,,,,,,,,,,,
"ENSG00000277633",,,19.931416,21630.512,,,,,,,,,,,,,,,,,,,
"ENSG00000277016",,,,4011.1501,,,,,,,,,,,,,,,,,,,
"ENSG00000282184",,,,2472.5352,,,,,,,,,,,,,,,,,,,
"IGHG2",,,,3205.5637,,,,,,,,,,,,,,,,,,,
"JUNB",199.65202,1926.1637,338.1806,359.00195,3936.28565,1204.8799,814.9959,2024.2914,3378.70945,638.647425,884.54135,547.22528,437.5889,953.0617,454.49408,1041.016,851.69197,1961.5537,1363.65855,767.01825,1186.0051,549.6231,2338.02715
"RPL34",2281.8027,6267.4097,1722.8276,1437.1259,9602.539,6370.12635,7363.4688,7547.1694,9631.906,4628.03755,5053.4726,2651.49775,2430.3608,7812.4995,4412.43945,5294.3013,3159.42125,7131.2144,6890.1875,4372.843,3715.499,4905.9688,7352.14165
"RPL21",3186.1338,6205.54,1933.5735,1620.0012,10132.423,6553.9325,7103.1058,8218.277,7941.85815,5898.08685,4707.35,3194.51725,2735.2297,10543.156,4770.9658,5478.41,3180.65685,5464.084,8456.666,4481.2134,4172.3716,5148.2393,6928.7938
"IFITM1",,678.8866,,,1436.4981,547.89953,510.877435,665.4836,1260.23955,,,,322.78888,,454.27019,308.32477,,,,,1604.4927,,844.20874
"SOCS3",,,,,870.82737,,,164.58195,234.24694,18.3338225,70.2322025,96.47815,,,,,65.24289,,,286.63562,,,58.562525
"KLRB1",,,,,807.50982,1905.2156,2285.33445,1085.5798,,,,,709.55536,,329.707135,2255.8813,,,,,1986.7549,,
"ENSG00000274233",,1253.1328,31.74666,27.130884,273.77014,874.58813,417.4592,401.05725,66.37604,27.7710295,83.031905,23.68768,1244.6658,109.79347,2387.0038,390.82855,,94.05567,153.335055,38.777683,1264.023,117.082184,155.10765
"CCL5",,1274.5061,31.74666,27.130884,273.77014,877.7269,418.182725,401.05725,66.37604,27.7710295,83.031905,23.68768,1244.6658,109.79347,2494.5456,392.77298,,94.05567,153.335055,38.777683,1274.5464,117.082184,155.10765
"S100A4",,337.04077,,11.923427,212.068885,847.098825,1314.6005,591.01654,253.068565,,277.85838,1601.42675,,,122.920695,460.61722,1636.8598,1220.008,,3968.254,,,464.57811
"RPLP1",5873.298,7226.981,4512.1104,4001.455,8196.9835,10372.8865,13883.6765,10277.325,9072.46,9024.81875,6256.34965,5717.50985,9250.082,7412.8984,8793.6815,8012.2095,5318.6783,5942.623,10615.9395,6146.491,5256.242,7448.169,7831.511
"TNFAIP3",,469.04315,,,,1045.7517,1228.92905,786.1635,202.142715,50.798556,78.3153275,137.811455,426.22113,,414.308195,1213.5923,294.11842,228.83295,,595.1369,486.61798,73.60519,269.541795
"RPS29",1499.1433,5097.451,619.6747,476.53085,7152.8322,6578.9473,6125.09235,7265.933,6480.2672,2853.4469,2658.0662,1091.1368,2204.5854,4735.376,2310.40735,3715.7454,1393.3604,2080.2378,6537.13405,1628.6644,3163.127,3506.8032,5855.58165
"ANXA1",,396.35358,,,84.419385,1880.33755,1469.18435,1425.5167,,117.567735,357.72717,590.3373,102.090294,,170.619525,447.96176,589.488025,1928.6404,,804.3204,212.44954,,
"GPR183",,191.31433,,,584.966425,668.22586,673.2497,1014.2923,264.34056,525.003845,767.11145,526.274025,,,,,364.204145,,445.732115,345.84125,,1336.541,406.22336
"IL7R",,727.6255,,,743.77227,1358.2217,1546.56285,1151.4105,487.03276,,,,,,,2119.2053,,,,,,,310.99364
"RPS13",2102.3672,2772.9636,758.10016,654.0222,4059.86305,2738.2253,3049.2699,3250.591,5225.4138,3201.1106,2998.1142,1962.99485,1531.3544,4093.5674,2190.9857,2622.951,2315.06885,2313.7437,3641.05275,2777.0066,1869.1589,2452.9844,3609.30375
