"","Species","cell_type1","Source","age","batch"
"12wpc_A1_c1_fetal","Homo sapiens","dosal cortex progenitor","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_A1_c2_fetal","Homo sapiens","dosal cortex progenitor","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_A10_c1_fetal","Homo sapiens","Unknown","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_A10_c2_fetal","Homo sapiens","dosal cortex progenitor","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_A11_c1_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_A11_c2_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_A12_c1_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_A12_c2_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_A2_c1_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_A2_c2_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_A3_c1_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_A3_c2_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_A4_c1_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_A4_c2_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_A5_c1_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_A5_c2_fetal","Homo sapiens","neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_A6_c1_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_A6_c2_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_A7_c1_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_A7_c2_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_A8_c1_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_A8_c2_fetal","Homo sapiens","dosal cortex progenitor","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_A9_c1_fetal","Homo sapiens","dosal cortex progenitor","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_A9_c2_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_B1_c1_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_B1_c2_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_B10_c1_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_B10_c2_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_B11_c1_fetal","Homo sapiens","dosal cortex progenitor","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_B11_c2_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_B12_c1_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_B2_c1_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_B2_c2_fetal","Homo sapiens","neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_B3_c1_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_B3_c2_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_B4_c1_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_B5_c1_fetal","Homo sapiens","dosal cortex progenitor","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_B5_c2_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_B6_c1_fetal","Homo sapiens","neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_B6_c2_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_B7_c1_fetal","Homo sapiens","Unknown","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_B7_c2_fetal","Homo sapiens","dosal cortex progenitor","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_B8_c2_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_B9_c2_fetal","Homo sapiens","Unknown","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_c1_C1_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_c1_C10_fetal","Homo sapiens","Unknown","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_c1_C12_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_c1_C2_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_C1_c2_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_c1_C3_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_c1_C4_fetal","Homo sapiens","Unknown","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_c1_C6_fetal","Homo sapiens","Unknown","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_c1_C9_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_c1_D1_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_c1_D10_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_c1_D11_fetal","Homo sapiens","Unknown","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_c1_D12_fetal","Homo sapiens","dosal cortex progenitor","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_c1_D2_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_c1_D4_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_c1_D5_fetal","Homo sapiens","dosal cortex progenitor","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_c1_D6_fetal","Homo sapiens","neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_c1_D7_fetal","Homo sapiens","Unknown","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_c1_D8_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_c1_D9_fetal","Homo sapiens","dosal cortex progenitor","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_c1_E1_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_c1_E10_fetal","Homo sapiens","dosal cortex progenitor","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_c1_E12_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_c1_E3_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_c1_E5_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_c1_E6_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_c1_E7_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_c1_E8_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_c1_E9_fetal","Homo sapiens","dosal cortex progenitor","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_c1_F1_fetal","Homo sapiens","Unknown","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_c1_F10_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_c1_F11_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_c1_F12_fetal","Homo sapiens","dosal cortex progenitor","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_c1_F2_fetal","Homo sapiens","dosal cortex progenitor","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_c1_F3_fetal","Homo sapiens","Unknown","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_c1_F4_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_c1_F5_fetal","Homo sapiens","Unknown","Fetal neocortex","13 weeks post-conception","fetal human cortex 2"
"12wpc_c1_F7_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_c1_F8_fetal","Homo sapiens","dosal cortex progenitor","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_c1_F9_fetal","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
"12wpc_c1_fetal_G1","Homo sapiens","dosal cortex neuron","Fetal neocortex","12 weeks post-conception","fetal human cortex 1"
